iter	Passed	Remaining
0	2	218
1	4	207
2	6	200
3	7	184
4	9	181
5	11	179
6	13	178
7	15	174
8	17	172
9	18	170
10	20	168
11	22	167
12	24	164
13	26	162
14	28	160
15	30	158
16	32	157
17	34	155
18	35	153
19	37	151
20	39	148
21	41	146
22	43	145
23	45	143
24	47	141
25	49	139
26	50	137
27	52	135
28	54	133
29	56	131
30	58	129
31	60	127
32	62	125
33	63	123
34	65	121
35	67	120
36	70	119
37	71	117
38	73	115
39	75	113
40	77	111
41	78	107
42	79	105
43	81	104
44	83	102
45	85	100
46	87	98
47	89	96
48	90	94
49	92	92
50	94	91
51	96	89
52	98	87
53	100	85
54	101	82
55	103	80
56	104	79
57	106	77
58	108	75
59	110	73
60	111	71
61	113	69
62	115	67
63	117	66
64	119	64
65	121	62
66	122	60
67	124	58
68	126	56
69	128	54
70	130	53
71	132	51
72	133	49
73	135	47
74	137	45
75	139	43
76	141	42
77	142	40
78	144	38
79	146	36
80	148	34
81	149	32
82	151	31
83	153	29
84	155	27
85	157	25
86	158	23
87	160	21
88	162	20
89	164	18
90	166	16
91	167	14
92	169	12
93	171	10
94	173	9
95	175	7
96	176	5
97	178	3
98	180	1
99	182	0
