iter	Passed	Remaining
0	233	233436
1	255	127658
2	272	90651
3	275	68682
4	278	55423
5	281	46602
6	284	40422
7	287	35631
8	289	31838
9	290	28801
10	292	26323
11	294	24256
12	298	22682
13	301	21255
14	304	19963
15	306	18838
16	308	17831
17	311	16996
18	314	16258
19	319	15660
20	323	15079
21	327	14541
22	329	14014
23	332	13541
24	338	13200
25	341	12795
26	344	12400
27	347	12052
28	351	11765
29	354	11464
30	357	11164
31	359	10875
32	361	10604
33	365	10384
34	368	10171
35	371	9941
36	373	9725
37	376	9524
38	379	9339
39	385	9252
40	388	9097
41	391	8936
42	398	8858
43	401	8715
44	404	8576
45	407	8442
46	411	8337
47	414	8222
48	417	8102
49	420	7989
50	423	7880
51	426	7782
52	430	7683
53	433	7586
54	435	7476
55	437	7370
56	443	7329
57	445	7238
58	447	7142
59	450	7050
60	452	6958
61	456	6900
62	460	6844
63	463	6778
64	470	6768
65	476	6746
66	481	6698
67	493	6760
68	497	6718
69	504	6702
70	508	6653
71	512	6611
72	524	6659
73	527	6601
74	536	6621
75	540	6567
76	543	6515
77	550	6502
78	552	6441
79	554	6381
80	557	6322
81	559	6266
82	562	6218
83	569	6207
84	572	6160
85	578	6147
86	582	6107
87	586	6076
88	588	6027
89	591	5978
90	598	5978
91	600	5931
92	603	5885
93	605	5840
94	611	5821
95	614	5789
96	617	5750
97	627	5776
98	630	5742
99	633	5702
100	636	5662
101	643	5663
102	646	5628
103	648	5590
104	651	5549
105	656	5535
106	661	5520
107	663	5481
108	666	5446
109	668	5408
110	673	5395
111	677	5370
112	679	5333
113	681	5294
114	683	5257
115	687	5240
116	690	5209
117	692	5176
118	694	5143
119	696	5111
120	699	5079
121	702	5053
122	704	5026
123	707	4996
124	709	4964
125	711	4935
126	713	4901
127	716	4881
128	718	4854
129	721	4826
130	723	4796
131	724	4766
132	726	4736
133	728	4710
134	732	4693
135	734	4669
136	737	4644
137	739	4617
138	741	4590
139	742	4563
140	746	4548
141	748	4521
142	751	4501
143	753	4477
144	756	4459
145	758	4436
146	762	4423
147	765	4405
148	767	4386
149	769	4363
150	772	4340
151	777	4338
152	780	4323
153	783	4302
154	785	4281
155	787	4259
156	790	4243
157	793	4226
158	795	4208
159	797	4187
160	798	4163
161	801	4143
162	803	4123
163	807	4113
164	809	4097
165	811	4077
166	813	4057
167	815	4037
168	817	4017
169	820	4006
170	824	3996
171	826	3978
172	828	3961
173	830	3943
174	832	3926
175	835	3913
176	839	3901
177	841	3884
178	843	3868
179	845	3850
180	847	3834
181	850	3820
182	854	3813
183	856	3797
184	858	3780
185	860	3764
186	862	3747
187	865	3740
188	868	3728
189	871	3714
190	873	3698
191	875	3684
192	878	3673
193	881	3662
194	884	3651
195	886	3637
196	888	3622
197	891	3609
198	893	3594
199	898	3592
200	900	3580
201	902	3566
202	904	3551
203	906	3536
204	908	3523
205	912	3518
206	915	3507
207	918	3495
208	919	3481
209	921	3467
210	923	3454
211	927	3445
212	930	3436
213	932	3424
214	934	3411
215	936	3398
216	938	3386
217	941	3376
218	943	3366
219	946	3355
220	948	3343
221	950	3330
222	952	3318
223	954	3308
224	957	3298
225	959	3286
226	961	3273
227	963	3261
228	964	3248
229	966	3236
230	969	3227
231	973	3222
232	975	3212
233	978	3202
234	981	3193
235	988	3200
236	991	3193
237	993	3182
238	995	3170
239	997	3158
240	999	3149
241	1002	3140
242	1004	3129
243	1006	3118
244	1008	3106
245	1009	3095
246	1011	3084
247	1014	3075
248	1017	3068
249	1019	3057
250	1021	3047
251	1022	3036
252	1024	3025
253	1026	3015
254	1028	3005
255	1031	2997
256	1033	2988
257	1035	2977
258	1037	2967
259	1039	2957
260	1040	2947
261	1042	2937
262	1045	2931
263	1048	2922
264	1050	2912
265	1051	2902
266	1053	2892
267	1055	2883
268	1057	2873
269	1060	2867
270	1062	2859
271	1064	2849
272	1066	2840
273	1068	2830
274	1070	2821
275	1071	2812
276	1074	2804
277	1077	2799
278	1079	2790
279	1082	2782
280	1084	2774
281	1086	2765
282	1088	2756
283	1091	2750
284	1093	2742
285	1094	2733
286	1096	2724
287	1098	2716
288	1100	2707
289	1102	2699
290	1106	2695
291	1108	2688
292	1110	2680
293	1112	2672
294	1114	2663
295	1116	2654
296	1118	2646
297	1121	2641
298	1123	2633
299	1125	2625
300	1127	2617
301	1128	2609
302	1130	2600
303	1132	2593
304	1135	2586
305	1138	2581
306	1139	2573
307	1141	2565
308	1143	2557
309	1145	2549
310	1147	2541
311	1149	2534
312	1152	2529
313	1154	2521
314	1156	2514
315	1158	2507
316	1160	2499
317	1162	2492
318	1165	2487
319	1168	2483
320	1171	2477
321	1173	2469
322	1175	2463
323	1176	2455
324	1179	2448
325	1181	2443
326	1183	2436
327	1185	2429
328	1187	2422
329	1189	2414
330	1191	2407
331	1192	2400
332	1195	2394
333	1197	2388
334	1199	2381
335	1201	2374
336	1203	2367
337	1205	2360
338	1207	2353
339	1210	2349
340	1212	2343
341	1214	2337
342	1216	2330
343	1218	2324
344	1220	2317
345	1222	2311
346	1226	2309
347	1228	2302
348	1230	2295
349	1232	2288
350	1234	2281
351	1235	2275
352	1237	2268
353	1240	2264
354	1242	2257
355	1244	2251
356	1246	2244
357	1248	2238
358	1250	2232
359	1251	2225
360	1257	2226
361	1261	2224
362	1266	2221
363	1268	2215
364	1270	2210
365	1273	2205
366	1275	2199
367	1277	2193
368	1279	2187
369	1281	2181
370	1283	2175
371	1333	2250
372	1342	2256
373	1360	2277
374	1385	2309
375	1389	2305
